colony_id,day,alates,male,female,unidentified,cumulative_alate,flight,alate_fraction,end,ave_temp,max_temp,min_temp
col-6,16,0,0,0,0,39,0,0,0,10.541667,22,4
col-6,17,0,0,0,0,39,0,0,0,6.833333,26.5,-0.5
col-6,18,0,0,0,0,39,0,0,0,6.354167,29,-3.5
col-6,19,0,0,0,0,39,0,0,0,6.5625,28.5,-3.5
col-6,20,0,0,0,0,39,0,0,0,6.3125,18,-1
col-6,21,0,0,0,0,39,0,0,0,6.958333,26,-1
col-6,22,0,0,0,0,39,0,0,0,8.145833,32,-1
col-6,23,0,0,0,0,39,0,0,0,11.083333,23,2.5
col-6,24,0,0,0,0,39,0,0,0,10.125,32,3
col-6,25,0,0,0,0,39,0,0,0,7.708333,24.5,1.5
col-6,26,0,0,0,0,39,0,0,0,9.520833,29,2.5
col-6,27,0,0,0,0,39,0,0,0,9.854167,21,1
col-6,28,72,33,39,0,111,1,0.111282844,0,11.166667,31,0.5
col-6,29,530,260,270,0,641,1,0.819165379,0,12.666667,33.5,0
col-6,30,6,2,4,0,647,1,0.00927357,0,16.5,37,3
col-6,31,0,0,0,0,647,0,0,1,10.75,15.5,8
col-6,32,0,0,0,0,647,0,0,1,12.604167,25.5,5.5
col-6,33,0,0,0,0,647,0,0,1,12.416667,29.5,4
col-6,34,0,0,0,0,647,0,0,1,11.8125,29.5,3
col-6,35,0,0,0,0,647,0,0,1,12.729167,37.5,1
col-6,36,0,0,0,0,647,0,0,1,11.520833,23.5,3.5
col-6,37,0,0,0,0,647,0,0,1,13.145833,28.5,3.5
col-6,38,0,0,0,0,647,0,0,1,14.666667,33,0.5
col-6,39,0,0,0,0,647,0,0,1,16.958333,41.5,2.5
col-6,40,0,0,0,0,647,0,0,1,20.041667,44.5,8
col-7,1,0,0,0,0,0,0,0,0,4.666667,13,-1.5
col-7,2,0,0,0,0,0,0,0,0,7.0625,12.5,3
col-7,3,0,0,0,0,0,0,0,0,3.479167,9,0
col-7,4,0,0,0,0,0,0,0,0,6.166667,20,-2
col-7,5,0,0,0,0,0,0,0,0,10.1875,19.5,5.5
col-7,6,0,0,0,0,0,0,0,0,4.833333,12,-1
col-7,7,0,0,0,0,0,0,0,0,6.041667,18.5,-1.5
col-7,8,0,0,0,0,0,0,0,0,7.625,23.5,-0.5
